Name,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,,,Calculations - Cost Per Beneficiary,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,Stories,Stories - source,Logo image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,
Diabetes Uk (official name The British Diabetic Association),Health & research,,,,215199,Yes,Sanjay,Research,1-Jan-2015,31-Dec-15,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=215199&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000215199_AC_20151231_E_C.pdf,,"No real data on research - doesn't state the number of researchers, just hte number of new research grants (although I imagine that the total spend includes some existing research grants as well)",,,,,,,,,,,,,,"£11,098,946",,,,"£11,098,946",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Uk (official name The British Diabetic Association),Health & research,,,,215199,Yes,Sanjay,Not alone with diabetes,1-Jan-2015,31-Dec-15,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=215199&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000215199_AC_20151231_E_C.pdf,https://www.diabetes.org.uk/About_us/Annual-reports/Annual-Report-2015/Not-alone-with-diabetes/,"Website refers to 22,361 careline beneficiaries, 180 users of the Care in School helpline, 40 new peer support groups, 11,000 people registering for an online course, and some other things. We don't hvae the costs broken down at that level though",,,,,,,,,,,,,,"£11,423,382",,,,"£11,423,382",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Uk (official name The British Diabetic Association),Health & research,,,,215199,Yes,Sanjay,Better care everywhere,1-Jan-2015,31-Dec-15,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=215199&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000215199_AC_20151231_E_C.pdf,https://www.diabetes.org.uk/About_us/Annual-reports/Annual-Report-2015/Better-care/,Campaigning - hard to quantify,,,,,,,,,,,,,,"£13,003,384",,,,"£13,003,384",#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Uk (official name The British Diabetic Association),Health & research,,,,215199,Yes,Sanjay,Reducing the risk of type 2 diabetes,1-Jan-2015,31-Dec-15,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=215199&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000215199_AC_20151231_E_C.pdf,https://www.diabetes.org.uk/About_us/Annual-reports/Annual-Report-2015/Reducing-risk/,"""Our Know Your Risk volunteers helped over 15,000 people find out their risk of Type 2 diabetes at one of our events, while our online tool was used over 240,000 times.""","15,000",people informed about diabetes risk,This refers to people helped to find out their risk of Type 2 diabetes at a Diabetes UK event,,,,,,,,,,,"£2,493,289",,,,"£2,493,289",£166.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Uk (official name The British Diabetic Association),Health & research,,,,215199,Yes,Sanjay,Growing the impact of our work,1-Jan-2015,31-Dec-15,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=215199&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends99/0000215199_AC_20151231_E_C.pdf,,"The other areas of work had a separate annual report - this one didn't. I've reallocated the expenses for this one across the other areas, since it looks like it's enabling other work rather than being an outcome in its own right",,,,,,,,,,,,,,,,,,£0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE ROYAL FOUNDATION OF THE DUKE AND DUCHESS OF CAMBRIDGE AND PRINCE HARRY,Youth & Military/veterns & Conservation & Mental Health,,,,1132048,Yes,Sanjay,Overall,,,,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1132048&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends48/0001132048_AC_20151231_E_C.pdf,,This charity purely redirects the funds on to other charities within three areas of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, need to think about methodology for this sort of intermediary grant-giving charity",,,,,,,,,,,,,,,,,
THE ROYAL FOUNDATION OF THE DUKE AND DUCHESS OF CAMBRIDGE AND PRINCE HARRY,Youth & Military/veterns & Conservation & Mental Health,,,,1132048,Yes,Emily,Heads Together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mentioned in this article: http://www.bbc.co.uk/news/entertainment-arts-39672573 Also the charity of the year for the Virgin Money London Marathon 2017,,,,,,
Social bite fund,Poverty,,,,SC045232,Yes,Sanjay,,,,,,,,http://www.oscr.org.uk/public/search-scottish-charity-register/charity-details?number=SC045232#results,http://www.oscr.org.uk/public/search-scottish-charity-register/charity-details?number=SC045232#results,,This charity operates a social business and redirects funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. This charity operates a social business and redirects funds - so it's the redirecting funds bit that matters,,,,,,,,,,,,,,,,,
Isaac Newton Institute,,,,,,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851 Trust,Sport & education & environment,,,,1158670,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Cambridge Gift registry,,,,,,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriel College fundraising account,,,,,,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute of policy studies (IPR),,,,,,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zusha!,Road Safety,,,,,Yes,Matt S,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, plenty of data about impact can be found, but nothing on the finiancial reporting and cost effectiveness yet",,,,,,,,,,,,,,,,,
BEN - Motor & Allied Trades Benevolent Fund ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mentioned in http://thirdforcenews.org.uk/tfn-news/payroll-giving-generates-1.3bn-for-charity. It's one of the five most popular charities for people to donate to via CAF GAYE,,,,,,
Friends at Work,,,Makes grants to organisations,,,Yes,David M & Mathilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, this organisation distrubite funds to 9 chairites, see link: https://bellfundraising.co.uk/friends-at-work",,,,,,,,,,,Mentioned in http://thirdforcenews.org.uk/tfn-news/payroll-giving-generates-1.3bn-for-charity. It's one of the five most popular charities for people to donate to via CAF GAYE,,,,,,
Action on Hearing Loss,Deafness & Health & Disabilities,,,,207720,Yes,Emily,Overall,1-Apr-2015,31-Mar-2016,Yes,• DISABILITY,• PEOPLE WITH DISABILITIES,"• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION \• SPONSORS OR UNDERTAKES RESEARCH 
",http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=207720&SubsidiaryNumber=0,,,,,,,,,,,,,,,,,"£38,856,000",0,,"£548,000","£38,308,000",,,,,,,Yes,,,"£38,380,000","£13,250,000","£7,700,000",20%,,,,,,,We provide personalised support in local communities and fund pioneering research into treatments and cures.,,,,,,,,,,,,,,
Action on Hearing Loss,Deafness & Health & Disabilities,,,,207720,Yes,Emily,Support and Care,1-Apr-2015,31-Mar-2016,Yes,• DISABILITY,• PEOPLE WITH DISABILITIES,"• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION \• SPONSORS OR UNDERTAKES RESEARCH 
",http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=207720&SubsidiaryNumber=0,,,,"33,000",People receiving hearing aid services,,,,,,,,,,,,"£28,305,161",0,,"£399,198","£27,905,963",£845.64,,,,,,Yes,,,,,,,,,Yes,"No, our representative outputs are too small a rpoportion of the porject's costs, we guess. To remedy this, we would need to contact the charity and ask for more info about the breakdown of costs",Very low,"Our representative outputs are too small a rpoportion of the porject's costs, we guess",We provide personalised support in local communities and fund pioneering research into treatments and cures.,,,,,,,,,,,,,,
Action on Hearing Loss,Deafness & Health & Disabilities,,,,207720,Yes,Emily,Technology and Treatments,1-Apr-2015,31-Mar-2016,Yes,• DISABILITY,• PEOPLE WITH DISABILITIES,"• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION \• SPONSORS OR UNDERTAKES RESEARCH 
",http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=207720&SubsidiaryNumber=0,,,,,,,,,,,,,,,,,"£3,933,451",0,,"£55,475","£3,877,977",,,,,,,,,,,,,,,,,,,,We provide personalised support in local communities and fund pioneering research into treatments and cures.,,,,,,,,,,,,,,
Action on Hearing Loss,Deafness & Health & Disabilities,,,,207720,Yes,Emily,Equality,1-Apr-2015,31-Mar-2016,Yes,• DISABILITY,• PEOPLE WITH DISABILITIES,"• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION \• SPONSORS OR UNDERTAKES RESEARCH 
",http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=207720&SubsidiaryNumber=0,,,,,,,,,,,,,,,,,"£6,617,388",0,,"£93,327","£6,524,060",,,,,,,,,,,,,,,,,,,,We provide personalised support in local communities and fund pioneering research into treatments and cures.,,,,,,,,,,,,,,
Childlife,Children & Disabilities & Health,,,,1080536,Yes,Emily,Overall,1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES ,• MAKES GRANTS TO ORGANISATIONS • ACTS AS AN UMBRELLA OR RESOURCE BODY ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1080536&SubsidiaryNumber=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, not enough time to finish",,,"UK children and young people are facing challenges in their lives as a result of illness, disability or social circumstances. Childlife helps to improve the lives of children and young people by raising funds for the work of its four member charities.",,,,,,,,,,,,,,
Guideposts Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guideposts Trust offers essential information, help and support to people with learning disabilities, dementia and age related conditions, mental health conditions, and their carers. We aim to enable them to live as independently as possible, with a sense of purpose and achievement. We also provide support to carers helping them cope with their caring role.",,,,,,,,,,,,,,
Muscular Dystrophy UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We are the UK charity for people affected by 60 different muscle-wasting conditions. We support high-quality research to find effective treatments and cures for all conditions, we ensure access to specialist NHS care and we provide services and opportunities that enable individuals and families to live as independently as possible.",,,,,,,,,,,,,,
SignHealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SignHealth works to improve the health and wellbeing of deaf people. Our services include psychological therapy in British Sign Language, residential care homes and support for women survivors of abuse. We campaign for better access to healthcare for deaf people, provide health information in BSL and schools for deaf children in Uganda.",,,,,,,,,,,,,,
The Roy Castle Lung Cancer Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We are the only charity in the UK wholly dedicated to the defeat of lung cancer. We give help and hope to people affected by lung cancer. We fund research into the early detection of the disease, help people to quit smoking and campaign for better outcomes for lung cancer patients.",,,,,,,,,,,,,,
HARP,Homelessness,,,,1098126,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spotted them on twitter,,,,,,
Refuge,Domestic violence & crime,,,,277424,Yes,Faiz,Overall,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • HUMAN RIGHTS / RELIGIOUS OR RACIAL HARMONY / EQUALITY OR DIVERSITY ,• CHILDREN / YOUNG PEOPLE • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER DEFINED GROUPS ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=277424&SubsidiaryNumber=0,,,,"3,700",People supported,,,,,,,,,,,,"£11,405,957",£0,"£870,408",£0,"£10,535,549","£2,847.45",,,,,,,,,"£11,266,272.00",,"£4,062,072",36%,,,Yes,Yes,Medium,,"Refuge is a United Kingdom charity providing specialist support for women and children experiencing domestic violence. Refuge provides a national network of specialist services, including emergency refuge accommodation (refuges), community outreach, independent domestic violence advocacy (IDVAs), culturally specific services and a team of child support workers. Refuge also runs the Freephone 24-Hour National Domestic Violence Helpline in partnership with Women's Aid.",,,,,,,,,,,,,,
Refuge,Domestic violence & crime,,,,277424,Yes,Faiz,Refuge provision,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • HUMAN RIGHTS / RELIGIOUS OR RACIAL HARMONY / EQUALITY OR DIVERSITY ,• CHILDREN / YOUNG PEOPLE • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER DEFINED GROUPS ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=277424&SubsidiaryNumber=0,,,,"1,433",Women and children housed in refuges,,,,,,,,,,,,"£6,628,598",£0,"£505,840",£0,"£6,122,758","£4,272.69",,,,,,,,,,,,,,,Yes,Yes,Medium,,,,,,,,,,,,,,,,
Refuge,Domestic violence & crime,,,,277424,Yes,Faiz,Advocacy,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • HUMAN RIGHTS / RELIGIOUS OR RACIAL HARMONY / EQUALITY OR DIVERSITY ,• CHILDREN / YOUNG PEOPLE • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER DEFINED GROUPS ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=277424&SubsidiaryNumber=0,,,,"6,069",People advocated for,,,,,,,,,,,,"£2,543,473",£0,"£194,097",£0,"£2,349,376",£387.11,,,,,,,,,,,,,,,Yes,Yes,Medium,,,,,,,,,,,,,,,,
Refuge,Domestic violence & crime,,,,277424,Yes,Faiz,Integrated services,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • HUMAN RIGHTS / RELIGIOUS OR RACIAL HARMONY / EQUALITY OR DIVERSITY ,• CHILDREN / YOUNG PEOPLE • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER DEFINED GROUPS ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=277424&SubsidiaryNumber=0,,,,,,,,,,,,,,,,,"£805,540",£0,"£61,472",£0,"£744,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge,Domestic violence & crime,,,,277424,Yes,Faiz,24 Hour Free Helpline for National Domestic Violense,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • HUMAN RIGHTS / RELIGIOUS OR RACIAL HARMONY / EQUALITY OR DIVERSITY ,• CHILDREN / YOUNG PEOPLE • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER DEFINED GROUPS ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=277424&SubsidiaryNumber=0,,,,"86,845",Calls / Cases handled,,7204,Volunteer-Hours,60,Volunteers,10,members of full-time staff,238,calls per day,17,sessional-workers,"£394,847",£0,"£30,131",£0,"£364,716",£4.20,,,,,,,,,,,,,,,Yes,Yes,Medium,,,,,,,,,,,,,,,,
Refuge,Domestic violence & crime,,,,277424,Yes,Faiz,Public Information,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • HUMAN RIGHTS / RELIGIOUS OR RACIAL HARMONY / EQUALITY OR DIVERSITY ,• CHILDREN / YOUNG PEOPLE • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER DEFINED GROUPS ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=277424&SubsidiaryNumber=0,,,,,Campaigns,,,,,,,,,,,,"£516,462",£0,"£39,412",£0,"£477,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
